player,category,score,confidence,source,note
"Amon-Ra St. Brown","skillFit","1.5","0.85","https://espnanalytics.com/receivers","Fact: ESPN Receiver Tracking 2025 shows 70 overall, 84 open, 52 catch, 43 YAC; inference: elite opening/route fit with average catch/YAC markers."
"Amon-Ra St. Brown","environment","1.5","0.85","https://www.espn.com/nfl/story/_/id/49083692/2026-detroit-lions-nfl-training-camp-preview","Fact: ESPN preview has Jared Goff, Jahmyr Gibbs, St. Brown, and Jameson Williams returning; inference: strong continuity."
"Amon-Ra St. Brown","risk","0","0.8","https://www.nfl.com/players/amon-ra-st-brown/stats/","Fact: NFL stats show 17 games and 17 starts in 2025; inference: no special health/availability penalty beyond normal WR risk."
"Jonathan Taylor","opportunity","+1.9","0.91","https://www.nfl.com/stats/player-stats/category/rushing/2025/reg/all/rushingyards/desc","Fact: 323 carries, 1585 rush yards, 18 rush TD in 2025; inference: bell-cow and goal-line role."
"Jonathan Taylor","defensiveAttention","+0.4","0.72","https://sumersports.com/players/running-back/","Fact: 7.14 average box defenders; report cites strong production versus lighter boxes; inference: lighter boxes/efficiency help, though QB uncertainty limits score."
"Jonathan Taylor","skillFit","+1.5","0.86","https://sumersports.com/players/running-back/","Fact: 4.91 YPC, 1067 yards after contact, 44.27% success rate, +17.72 Total EPA, 18 rushing TD; inference: elite rushing fit."
"Jonathan Taylor","environment","+0.3","0.70","https://www.ourlads.com/nfldepthcharts/depthchart/IND","Fact: Ourlads lists Taylor behind a line including Bernhard Raimann and Quenton Nelson, with Daniel Jones/Anthony Richardson at QB; inference: line helps, QB volatility keeps environment modest."
"Jonathan Taylor","risk","-0.6","0.76","https://www.stampedeblue.com/indianapolis-colts-free-agency/125642/projecting-jonathan-taylors-next-contract","Fact: extension discussion while entering final year of current deal plus 323 carries in 2025; inference: contract/workload risk, with no current holdout confirmed."
"CeeDee Lamb","opportunity","1","0.85","https://www.nfl.com/stats/player-stats/category/receiving/2025/REG/all/receivingtarget/DESC","Fact: 2025 regular season had 117 targets, 75 catches, 1077 yards, 3 TD in 14 games; inference: strong per-game role, but no longer elite target monopoly."
"CeeDee Lamb","defensiveAttention","1.5","0.75","https://www.buccaneers.com/news/2026-opponent-preview-dallas-cowboys-week-5","Fact: official opponent preview says Dak-Pickens connection produced 93 catches, 1429 yards, 9 TD in 2025; inference: Pickens materially reduces Lamb bracket risk."
"CeeDee Lamb","skillFit","1","0.8","https://espnanalytics.com/receivers","Fact: ESPN Receiver Tracking 2025 shows 63 overall, 80 open, 44 catch, 43 YAC; inference: strong opening profile with more modest catch/YAC markers."
"CeeDee Lamb","environment","1","0.8","https://www.buccaneers.com/news/2026-opponent-preview-dallas-cowboys-week-5","Fact: official opponent preview says Prescott started all 17 in 2025 with 4552 yards and 30 TD; inference: solid QB environment with target competition."
"CeeDee Lamb","risk","-0.75","0.8","https://www.dallascowboys.com/news/3-points-ceedee-lamb-s-continued-success-despite-injuries-in-2025","Fact: Cowboys.com says 2025 high ankle sprain cost most of Week 3 plus Weeks 4-6; inference: moderate durability/recency risk."
"De'Von Achane","opportunity","+1.6","0.84","https://www.rotoballer.com/player-news/devon-achane-wants-to-win-rushing-title-in-run-friendly-scheme/1899411","Fact: report says new OC Bobby Slowik plans to run more and Achane is a focal point; 238 carries and 67 catches in 2025; inference: volume should be strong."
"De'Von Achane","defensiveAttention","-0.6","0.72","https://www.ourlads.com/nfldepthcharts/depthchart/MIA","Fact: Ourlads lists Malik Willis and a changed WR room; inference: defenses can key on Achane more."
"De'Von Achane","skillFit","+1.9","0.90","https://sumersports.com/players/running-back/","Fact: 5.67 YPC, +14.04 Total EPA, 13.45% explosive rush rate, 67 catches, 488 receiving yards, 4 receiving TD; inference: elite speed/receiving fit."
"De'Von Achane","environment","-0.4","0.68","https://www.rotoballer.com/player-news/devon-achane-wants-to-win-rushing-title-in-run-friendly-scheme/1899411","Fact: run-heavy plan helps volume, but offense has changed QB/pass-catching pieces; inference: scoring efficiency may be volatile."
"De'Von Achane","risk","-0.7","0.72","https://www.rotoballer.com/player-news/devon-achane-wants-to-win-rushing-title-in-run-friendly-scheme/1899411","Fact: minor shoulder issue limited offseason work, but he is full-go for camp; inference: current health OK, but workload/rebuild risk remains."
"Justin Jefferson","opportunity","1","0.85","https://www.nfl.com/stats/player-stats/category/receiving/2025/REG/all/receivingtarget/DESC","Fact: 2025 regular season had 141 targets, 84 catches, 1048 yards, 2 TD; inference: still strong alpha volume, but down from prior elite output."
"Justin Jefferson","defensiveAttention","-0.5","0.65","https://www.espn.com/nfl/team/depth/_/name/min","Fact: ESPN depth chart lists Jefferson ahead of Addison and Tai Felton; inference: clear alpha status keeps defensive attention high."
"Justin Jefferson","skillFit","0.5","0.75","https://espnanalytics.com/receivers","Fact: ESPN Receiver Tracking 2025 shows 56 overall, 61 open, 51 catch, 46 YAC; inference: still positive, but not at prior elite efficiency."
"Justin Jefferson","environment","-0.5","0.8","https://www.vikings.com/news/quarterback-comparisons-training-camp-rookies-2026","Fact: Vikings.com says J.J. McCarthy and Kyler Murray both took early camp QB reps; inference: unsettled QB lowers projection certainty."
"Justin Jefferson","risk","0","0.75","https://www.nfl.com/players/justin-jefferson/stats/","Fact: NFL stats show 17 games in 2025; inference: no player-health penalty, with QB environment scored separately."
"Drake London","opportunity","1","0.8","https://www.nfl.com/stats/player-stats/category/receiving/2025/REG/all/receivingtarget/DESC","Fact: 2025 regular season had 112 targets, 68 catches, 919 yards, 7 TD in 12 starts; inference: good per-game demand despite missed time."
"Drake London","defensiveAttention","-0.5","0.65","https://www.atlantafalcons.com/team/depth-chart","Fact: official Falcons depth chart lists London as WR1 with thin/unfinished WR rows around him; inference: defenses can tilt coverage toward London, though Bijan/Pitts help."
"Drake London","skillFit","-0.5","0.7","https://espnanalytics.com/receivers","Fact: ESPN Receiver Tracking 2025 shows 43 overall, 47 open, 51 catch, 38 YAC; inference: separation/YAC profile trims upside versus elite price."
"Drake London","environment","-1","0.8","https://www.atlantafalcons.com/news/falcons-training-camp-report-michael-penix-jr-limited-practice","Fact: Falcons camp report says Penix was limited; depth/news also flagged Tua injury and Cooper Rush signing; inference: QB instability is a material drag."
"Drake London","risk","-1","0.85","https://www.atlantafalcons.com/news/falcons-injury-report-drake-london-returns-practice-limited","Fact: Falcons.com says London missed four straight 2025 games with a PCL sprain before limited return; inference: elevated recent lower-body risk."
"Rashee Rice","opportunity","1","0.65","https://www.nfl.com/stats/player-stats/category/receiving/2025/REG/all/receivingtarget/DESC","Fact: 2025 regular season had 78 targets, 53 catches, 571 yards, 5 TD in 8 games; inference: strong per-game role when active, but availability caps confidence."
"Rashee Rice","defensiveAttention","0.5","0.6","https://www.espn.com/nfl/team/depth/_/name/kc/kansas-city-chiefs","Fact: ESPN depth chart includes Rice with Xavier Worthy/Jalen Royals and Travis Kelce remains TE1 on Chiefs depth sources; inference: Rice is unlikely to be sole defensive focus if healthy."
"Rashee Rice","skillFit","0","0.65","https://espnanalytics.com/receivers","Fact: ESPN Receiver Tracking 2025 shows 49 overall, 68 open, 23 catch, 51 YAC; inference: mixed skill profile."
"Rashee Rice","environment","0.5","0.75","https://www.arrowheadpride.com/kansas-city-chiefs-news/205876/andy-reid-gives-6-chiefs-injury-updates-patrick-mahomes-cleared-to-practice","Fact: Reid update says Mahomes and Rice were cleared for camp after knee procedures; inference: Mahomes raises ceiling, but recent rehabs temper score."
"Rashee Rice","risk","-2","0.9","https://www.nfl.com/news/chiefs-wr-rashee-rice-ordered-to-jail-after-testing-positive-for-marijuana","Fact: NFL.com says Rice was ordered to 30 days jail for a probation violation; inference: maximum combined legal/medical availability risk."
"Jeremiyah Love","opportunity","+2","0.86","https://g.espncdn.com/s/ffldraftkit/26/NFL26_CS_Depth.pdf?adddata=2026CS_Depth","Fact: ESPN July 31 fantasy depth chart lists Love as ARI RB1 and overall rank 13; inference: premium auction opportunity."
"Jeremiyah Love","defensiveAttention","0.2","0.55","https://g.espncdn.com/s/ffldraftkit/26/NFL26_CS_Depth.pdf?adddata=2026CS_Depth","Fact: ESPN depth chart lists Love alongside Kyler Murray, Marvin Harrison Jr., and Trey McBride; inference: surrounding threats should prevent full defensive sellout, with low rookie confidence."
"Jeremiyah Love","skillFit","+2","0.88","https://fightingirish.com/jeremiyah-love-selected-3rd-overall-in-2026-nfl-draft-by-arizona/","Fact: 2025 Notre Dame line was 199 carries for 1372 yards at 6.9 YPC plus 27 catches for 280 yards and 21 total TDs; inference: explosive three-down fit."
"Jeremiyah Love","environment","0.8","0.65","https://g.espncdn.com/s/ffldraftkit/26/NFL26_CS_Depth.pdf?adddata=2026CS_Depth","Fact: ESPN depth chart places Love in an Arizona offense with Kyler Murray, Marvin Harrison Jr., and Trey McBride; inference: mobile QB and pass catchers create a favorable ecosystem, tempered by rookie ramp."
"Jeremiyah Love","risk","-1","0.72","https://nypost.com/2026/07/30/sports/tyler-allgeier-happy-to-share-cardinals-load-with-jeremiyah-love/","Fact: Tyler Allgeier has led first-team camp reps while OC Nathaniel Hackett says Love is still developing; inference: early committee/ramp risk."
"James Cook III","opportunity","+1.8","0.90","https://www.buffalobills.com/team/players-roster/james-cook/","Fact: 309 carries, 1621 rush yards, 12 rush TD, 33 receptions in 2025; Bills note extension through 2029; inference: entrenched lead role."
"James Cook III","defensiveAttention","+0.2","0.72","https://sumersports.com/players/running-back/","Fact: 7.65 average box defenders, yet 5.25 YPC, 45.63% success, 4.53% TFL; inference: handled heavy boxes, but attention caps upside."
"James Cook III","skillFit","+1.4","0.84","https://sumersports.com/players/running-back/","Fact: 5.25 YPC, 962 yards after contact, 8.74% explosive rush rate, 33 catches; inference: excellent rushing fit, modest receiving ceiling versus elite receiving backs."
"James Cook III","environment","+1.4","0.83","https://www.buffalobills.com/team/players-roster/james-cook/","Fact: Bills official page links Cook's 2025 rushing title to Joe Brady-led top rushing offense; inference: elite run environment."
"James Cook III","risk","-0.5","0.82","https://spectrumlocalnews.com/nys/buffalo/news/2026/06/11/after-skipping-otas--james-cook-returns-at-bills-mandatory-minicamp","Fact: Cook returned at mandatory minicamp after skipping OTAs; Bills stat table shows fumbles were a focus; inference: mild contract/ball-security risk."
"Ashton Jeanty","opportunity","+1.5","0.84","https://www.raiders.com/news/ashton-jeanty-steady-anchor-of-the-raiders-backfield-2026-season-nfl","Fact: Raiders.com says Jeanty led rookies with 1321 scrimmage yards and 10 total TD; Kubiak wants to get him on field often; inference: lead-volume upside."
"Ashton Jeanty","defensiveAttention","-0.3","0.62","https://sumersports.com/players/d0eb125/ashton-jeanty/","Fact: Sumer lists 7.23 average box defenders plus Tucker/Bowers as key targets; inference: attention is moderate, but WR gravity remains limited."
"Ashton Jeanty","skillFit","+0.8","0.74","https://sumersports.com/players/d0eb125/ashton-jeanty/","Fact: Sumer lists 816 yards after contact and 6.02% explosive rush rate, but 3.67 YPC and -64.23 total EPA; inference: tackle-breaking fit with efficiency drag."
"Ashton Jeanty","environment","+0.3","0.64","https://www.raiders.com/news/ashton-jeanty-steady-anchor-of-the-raiders-backfield-2026-season-nfl","Fact: Raiders.com frames Jeanty in Klint Kubiak's new offensive scheme; inference: scheme can help, but surrounding offense remains less proven than elite rooms."
"Ashton Jeanty","risk","-0.5","0.68","https://sumersports.com/players/d0eb125/ashton-jeanty/","Fact: Sumer lists 266 rushes, 55 catches, 31.95% success, and 16.92% TFL as a rookie; inference: workload plus efficiency risk trims price."
"Omarion Hampton","opportunity","+0.9","0.66","https://www.chargers.com/news/roster-draft-training-camp-2026","Fact: Chargers.com says Hampton spearheads the RB group after 545 rush yards, 4 rush TD, 32 catches, and 192 receiving yards in 9 games; inference: lead opportunity if healthy."
"Omarion Hampton","defensiveAttention","+0.4","0.68","https://sumersports.com/players/a346ba9/omarion-hampton/","Fact: Sumer lists 7.16 average box defenders plus Herbert/McConkey as key teammates; inference: passing-game gravity should keep attention manageable."
"Omarion Hampton","skillFit","+1.0","0.75","https://www.chargers.com/news/training-camp-preview-omarion-hampton-fantasy","Fact: Chargers.com says the offense shifted to outside zone under Mike McDaniel and Hampton likes the system; inference: strong scheme fit if healthy."
"Omarion Hampton","environment","+0.8","0.70","https://www.chargers.com/news/omarion-hampton-breakout-players-fantasy-2026","Fact: Chargers.com cites Fox Sports' Greg Auman projecting Hampton as lead back in a Mike McDaniel offense with a healthier line; inference: favorable ecosystem."
"Omarion Hampton","risk","-0.9","0.80","https://www.chargers.com/news/omarion-hampton-mike-mcdaniel-fantasy-2026","Fact: Chargers.com says Hampton battled a pair of ankle injuries at multiple points as a rookie; inference: meaningful availability risk remains."
"Brock Bowers","opportunity","+0.8","0.74","https://sumersports.com/players/tight-end/","Fact: Sumer TE table lists 402 routes, 23.63% target share, 64 catches, 680 yards, and 7 TD in 2025; inference: strong active-game role, short of full-season elite."
"Brock Bowers","defensiveAttention","-0.4","0.65","https://www.ourlads.com/nfldepthcharts/depthchart/LV","Fact: Ourlads 07/28/2026 lists Bowers as TE1 with Jack Bech, Tre Tucker, and Jalen Nailor as starting WRs; inference: defenses can key him."
"Brock Bowers","skillFit","+1.0","0.78","https://sumersports.com/players/tight-end/","Fact: Sumer TE table lists 74.42% catch rate, 305 YAC, and 50.64 total EPA; inference: efficient short-area and YAC fit."
"Brock Bowers","environment","+0.1","0.58","https://www.ourlads.com/nfldepthcharts/depthchart/LV","Fact: Ourlads lists Kirk Cousins and Fernando Mendoza in the QB room with Ashton Jeanty as RB1; inference: mixed QB stability, better run gravity."
"Brock Bowers","risk","-0.9","0.76","https://fantasydata.com/nfl/brock-bowers-fantasy/24943","Fact: FantasyData lists Bowers healthy now but with a 12-game 2025 season after a knee-affected year; inference: material availability risk."
"Trey McBride","opportunity","+1.8","0.90","https://www.azcardinals.com/team/players-roster/trey-mcbride/splits/2026/reg/","Fact: Cardinals bio lists 17 starts, 126 receptions, 1239 yards, and 11 TD in 2025; inference: elite TE volume."
"Trey McBride","defensiveAttention","-0.3","0.68","https://sumersports.com/players/tight-end/","Fact: Sumer TE table lists a 27.39% target share, the highest TE row checked; inference: true focal point likely draws top coverage attention."
"Trey McBride","skillFit","+1.6","0.88","https://sumersports.com/players/tight-end/","Fact: Sumer TE table lists 699 routes, 583 YAC, 107.69 total EPA, and 74.56% catch rate; inference: elite role and trait fit."
"Trey McBride","environment","-0.4","0.62","https://www.ourlads.com/nfldepthcharts/depthchart/ARZ","Fact: Ourlads lists Jacoby Brissett, Gardner Minshew, and Carson Beck in the Cardinals QB room with McBride as TE1; inference: QB transition trims environment."
"Trey McBride","risk","-0.1","0.70","https://www.azcardinals.com/team/players-roster/trey-mcbride/splits/2026/reg/","Fact: Cardinals bio lists all 17 games started in 2025 and extension through 2029; inference: low durability and contract risk."
"Josh Allen","opportunity","+1.8","0.88","https://www.buffalobills.com/team/stats/","Fact: Bills stats list 3668 passing yards, 25 passing TD, and Allen second on the team with 579 rushing yards; inference: elite dual-use role."
"Josh Allen","defensiveAttention","+0.3","0.64","https://www.ourlads.com/nfldepthcharts/depthchart/BUF","Fact: Ourlads 07/31/2026 lists DJ Moore, Joshua Palmer, Khalil Shakir, and Dalton Kincaid around Allen; inference: spread targets help."
"Josh Allen","skillFit","+1.7","0.87","https://sumersports.com/players/quarterback/","Fact: Sumer QB table lists 69.35% completion, 579 rush yards, 14 rush TD, and 38.77 rushing EPA; inference: elite fantasy QB fit."
"Josh Allen","environment","+1.0","0.78","https://www.buffalobills.com/team/stats/","Fact: Bills team stats list 6397 offensive yards and 62 TD in 2025; inference: premium scoring environment remains."
"Josh Allen","risk","-0.7","0.72","https://sumersports.com/players/quarterback/","Fact: Sumer and Bills tables list 112 QB rushes plus 40 sacks in 2025; inference: rushing ceiling carries contact risk."
"Kyren Williams","opportunity","+1.2","0.84","https://www.therams.com/team/players-roster/kyren-williams/situational/2026/reg/","Fact: Rams player page lists 259 carries, 1252 rushing yards, and 10 rushing TD in 2025; inference: clear lead-back workload."
"Kyren Williams","defensiveAttention","+0.2","0.70","https://www.ourlads.com/nfldepthcharts/depthchart/LAR","Fact: Ourlads lists Matthew Stafford, Davante Adams, Puka Nacua, and Williams as first-team pieces; inference: passing gravity offsets box attention."
"Kyren Williams","skillFit","+1.0","0.78","https://sumersports.com/players/running-back/","Fact: Sumer RB table lists 4.83 YPC, 50.19% success rate, and 764 yards after contact; inference: strong run-game fit."
"Kyren Williams","environment","+1.0","0.76","https://www.therams.com/team/depth-chart","Fact: Rams depth chart lists Stafford, Nacua, Adams, and Williams as first-team offense pieces; inference: strong ecosystem."
"Kyren Williams","risk","-0.4","0.68","https://www.ourlads.com/nfldepthcharts/depthchart/LAR","Fact: Ourlads lists Blake Corum as RB2 behind Williams; inference: mild role-share and contingency risk."
"Cam Skattebo","opportunity","+0.7","0.67","https://www.ourlads.com/nfldepthcharts/depthchart/NYG","Fact: Ourlads 07/30/2026 lists Skattebo as RB1 over Tyrone Tracy Jr. and Devin Singletary; inference: lead opportunity if healthy."
"Cam Skattebo","defensiveAttention","-0.1","0.60","https://www.ourlads.com/nfldepthcharts/depthchart/NYG","Fact: Ourlads lists Jaxson Dart, Malik Nabers, Darius Slayton, and Calvin Austin with Skattebo; inference: young offense may invite attention."
"Cam Skattebo","skillFit","+0.8","0.70","https://www.giants.com/team/stats/2025/reg","Fact: Giants stats list 101 carries, 410 rushing yards, and 5 rushing TD in 2025; inference: useful tackle-breaking and goal-line fit."
"Cam Skattebo","environment","-0.3","0.60","https://www.ourlads.com/nfldepthcharts/depthchart/NYG","Fact: Ourlads lists Jaxson Dart starting in a reworked Giants offense; inference: uncertain scoring environment."
"Cam Skattebo","risk","-1.1","0.82","https://fantasydata.com/nfl/cam-skattebo-fantasy/25887","Fact: FantasyData lists Skattebo good to go for camp after severe 2025 ankle injury; inference: return-to-performance risk remains."
"Travis Etienne Jr.","opportunity","+1.1","0.78","https://www.ourlads.com/nfldepthcharts/depthchart/NO","Fact: Ourlads 07/29/2026 lists Etienne as RB1 ahead of Alvin Kamara, Devin Neal, and Kendre Miller; inference: lead opportunity."
"Travis Etienne Jr.","defensiveAttention","+0.3","0.64","https://www.ourlads.com/nfldepthcharts/depthchart/NO","Fact: Ourlads lists Chris Olave, Jordyn Tyson, Kamara, and Tyler Shough with Etienne; inference: defenses cannot sell out fully."
"Travis Etienne Jr.","skillFit","+1.0","0.80","https://www.neworleanssaints.com/team/players-roster/travis-etienne/career","Fact: Saints page lists 1107 rush yards plus 36 receptions, 292 receiving yards, and 6 receiving TD in 2025; inference: strong dual-use fit."
"Travis Etienne Jr.","environment","+0.4","0.64","https://www.ourlads.com/nfldepthcharts/depthchart/NO","Fact: Ourlads lists Tyler Shough starting with Olave and Kamara in support; inference: improved but still young offense."
"Travis Etienne Jr.","risk","-0.4","0.68","https://www.ourlads.com/nfldepthcharts/depthchart/NO","Fact: Ourlads lists Kamara and Devin Neal behind Etienne; inference: workload split risk is real."
"Quinshon Judkins","opportunity","+0.9","0.72","https://www.ourlads.com/nfldepthcharts/depthchart/CLE","Fact: Ourlads 2026 depth chart lists Judkins as RB1 over Dylan Sampson; inference: lead-back path is clear."
"Quinshon Judkins","defensiveAttention","-0.6","0.70","https://sumersports.com/players/running-back/","Fact: Sumer RB table lists 7.76 average box defenders and 33.04% success rate in 2025; inference: difficult run attention."
"Quinshon Judkins","skillFit","-0.3","0.68","https://sumersports.com/players/running-back/","Fact: Sumer RB table lists 3.60 YPC, -26.16 total EPA, and 664 yards after contact; inference: power flashes but efficiency drag."
"Quinshon Judkins","environment","-0.7","0.65","https://www.ourlads.com/nfldepthcharts/depthchart/CLE","Fact: Ourlads lists a Shedeur Sanders and Deshaun Watson QB room around the Browns offense; inference: uncertain scoring environment."
"Quinshon Judkins","risk","-0.8","0.78","https://www.nfl.com/players/quinshon-judkins/","Fact: NFL.com lists his rookie season ending after 14 games with a fractured fibula and a smooth return; inference: injury recovery risk."
"Davante Adams","opportunity","+0.3","0.65","https://sumersports.com/players/wide-receiver/","Fact: Sumer WR table lists 409 routes, 60 catches, 789 yards, and 24.78% target share in 2025; inference: good but shared role."
"Davante Adams","defensiveAttention","+0.8","0.75","https://www.ourlads.com/nfldepthcharts/depthchart/LAR","Fact: Ourlads lists Adams and Puka Nacua as starting outside WRs with Matthew Stafford; inference: attention is shared."
"Davante Adams","skillFit","+1.0","0.80","https://sumersports.com/players/wide-receiver/","Fact: Sumer WR table lists 14 TD, 81.75 catch metric, and 1.93 YPRR; inference: red-zone and route fit remain strong."
"Davante Adams","environment","+1.1","0.82","https://www.ourlads.com/nfldepthcharts/depthchart/LAR","Fact: Ourlads lists Stafford, Nacua, Adams, and Kyren Williams anchoring the first-team offense; inference: premium environment."
"Davante Adams","risk","-0.9","0.78","https://www.therams.com/team/players-roster/davante-adams/","Fact: Rams page lists Adams with 14 receiving TD despite missing three games; inference: availability risk."
"Ladd McConkey","opportunity","+0.7","0.72","https://sumersports.com/players/067894a/ladd-mcconkey/","Fact: Sumer player page lists 562 routes, 106 targets, 66 catches, 789 yards, and 6 TD in 2025; inference: stable but not elite volume."
"Ladd McConkey","defensiveAttention","+0.3","0.66","https://www.chargers.com/team/depth-chart","Fact: Chargers depth chart lists McConkey with Quentin Johnston, Oronde Gadsden, Justin Herbert, and Omarion Hampton; inference: attention should be shared."
"Ladd McConkey","skillFit","+0.8","0.72","https://sumersports.com/players/067894a/ladd-mcconkey/","Fact: Sumer page lists 310 YAC, 9.87 ADoT, 19.49% target share, and 64.43 total EPA; inference: useful quick-game fit."
